idx	arm	model	extra	dataset	lr	seed	tokens	run_id
0	A	geotransolver_surface	forward_kwargs.global_embedding=global_data.U_inf_dir	highlift_surface_draw1_n35	1.0e-3	42	10000	campA_hl_gt_n35_d1_seed42
1	A	geotransolver_surface	forward_kwargs.global_embedding=global_data.U_inf_dir	highlift_surface_draw1_n35	1.0e-3	43	10000	campA_hl_gt_n35_d1_seed43
2	A	geotransolver_surface	forward_kwargs.global_embedding=global_data.U_inf_dir	highlift_surface_draw1_n35	1.0e-3	44	10000	campA_hl_gt_n35_d1_seed44
3	A	transolver_surface	forward_kwargs.fx.source=global_data.U_inf_dir	highlift_surface_draw1_n35	3.0e-3	42	10000	campA_hl_transolver_n35_d1_seed42
4	A	transolver_surface	forward_kwargs.fx.source=global_data.U_inf_dir	highlift_surface_draw1_n35	3.0e-3	43	10000	campA_hl_transolver_n35_d1_seed43
5	A	transolver_surface	forward_kwargs.fx.source=global_data.U_inf_dir	highlift_surface_draw1_n35	3.0e-3	44	10000	campA_hl_transolver_n35_d1_seed44
6	A	mt2_surface	model.out_scalars=3 model.out_vectors=2	highlift_surface_draw1_n35	1.0e-3	42	10000	campA_hl_isla_n35_d1_seed42
7	A	mt2_surface	model.out_scalars=3 model.out_vectors=2	highlift_surface_draw1_n35	1.0e-3	43	10000	campA_hl_isla_n35_d1_seed43
8	A	mt2_surface	model.out_scalars=3 model.out_vectors=2	highlift_surface_draw1_n35	1.0e-3	44	10000	campA_hl_isla_n35_d1_seed44
9	A	mt2_surface	model.out_scalars=3 model.out_vectors=2 +model.use_measure_weights=false	highlift_surface_draw1_n35	1.0e-3	42	10000	campA_hl_islanw_n35_d1_seed42
10	A	mt2_surface	model.out_scalars=3 model.out_vectors=2 +model.use_measure_weights=false	highlift_surface_draw1_n35	1.0e-3	43	10000	campA_hl_islanw_n35_d1_seed43
11	A	mt2_surface	model.out_scalars=3 model.out_vectors=2 +model.use_measure_weights=false	highlift_surface_draw1_n35	1.0e-3	44	10000	campA_hl_islanw_n35_d1_seed44
12	A	geotransolver_surface	forward_kwargs.global_embedding=global_data.U_inf_dir	highlift_surface_draw2_n35	1.0e-3	42	10000	campA_hl_gt_n35_d2_seed42
